"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1529405824.A.D8D#00000", "solumate", "<br>但我還是要提出一個重要的觀點，<br><br>希望大家可以理性思考，不要被情緒牽著走。<br><br><br>性侵是重大刑案，那怕只有一絲絲的可能，<br><br>檢察官都會選擇起訴，讓法官來分擔責任，<br><br>所以不被起訴的性侵案，通常不是缺乏證據，<br><br>反而是因為有明確證據指出：這不是一件性侵案，<br><br>所以才會不起訴的。<br><br><br>女人的心思非常複雜多變，<br><br>第一次明明是半推半就，後來變兩情相悅，<br><br>但只要哪天突然覺得，自己原來是洩慾的對象，<br><br>或者人生進入低潮，需要找一個責怪的目標，<br><br>那麼這男的便立馬成為性侵犯、官司纏身，<br><br>甚至就此冤獄的，也是不在少數。<br><br><br>當然我相信，雙方當時應該有發生性行為，<br><br>只不過那比較像是兩情相悅，或者最多半推半就，<br><br>但後來事主「越想越不對勁」，<br><br>所以這男的就成為無辜的性侵犯。<br><br><br>那為什麼他要否認到底，而不要說兩情相悅呢？<br><br><br>很簡單，因為合法性交年齡是16歲，當時事主只有國中，<br><br>所以去爭兩情相悅，只是落入司法陷阱，<br><br>就算兩情相悅又怎樣？<br><br>未滿16歲照樣是「妨害性自主罪」。<br><br><br>那你是男生，你賭不賭爛？<br><br>當初明明雙方互有情愫，合意性交，<br><br>現在回頭過來咬你，打「理論上」100%贏的官司，<br><br>只要你承認有和對方性交，就是死路一條，<br><br>當然是說謊說到底，拚一個無罪啊。<br><br><br>所以這男的打死不承認，也是情勢所逼。<br><br><br>真的不要跟我說什麼斯德哥爾摩，<br><br>女人防衛機轉很複雜，<br><br>事主沒被囚禁，跟外界有大把大把的接觸，<br><br>這樣就幾乎不可能出現斯德哥爾摩了。<br><br><br>甚至雙方關係已經延續到16歲，合法性交的年齡，<br><br>這時應該已經有能力判斷，自己有沒有被強迫，<br><br>而且也該替自己的性行為負責，<br><br>不是什麼都用對方強迫，就可以合理化自己是受害者。<br><br><br>所以看完這篇文章，我是很火大，<br><br>但我火大的是，他堂哥真的他x的有夠倒楣，<br><br>遇到這種無妄之災，幸好司法最後還他公道。<br><br><br>最後再強調，我非常痛恨性侵犯，<br><br>但這種感情糾紛的事情，最後搞到變司法報復，<br><br>我也是非常的討厭、噁心、輕視。<br><br><br>--<br>", "", ""
"sex#M.1529405824.A.D8D#00001", "blt5945130", "有事嗎？你又不是當事人，怎知道事情來龍去脈！沒有人會願意把傷口攤出來給別人踐踏！不需要發一篇廢文來質疑原波！", "06/19 19:11", "1"
"sex#M.1529405824.A.D8D#00002", "gogolct", "這就是越想越不對勁不是嗎", "06/19 19:19", "0"
"sex#M.1529405824.A.D8D#00003", "iamrollita", "...................怎麼可以這麼自以為", "06/19 19:20", "0"
"sex#M.1529405824.A.D8D#00004", "s87269x", "為自己的性行為負責，那你有看到表哥為了脫罪而使用自己精神病中度身心障礙來表達行為能力不受控嗎？他媽的護航也拿些東西來護，你舉其他#metoo就算了，有些真的亂來一通，這個案例在護三小我都看不懂。媽的推到噓回來，我等等再補第二個", "06/19 19:24", "1"
"sex#M.1529405824.A.D8D#00005", "rebecca1110", "這篇一看就知道這並非感情糾紛，她當初發生是那麼痛楚，你都看不到嗎？這就是戰神的觀點跟作為嗎？我除了震驚之餘真的為原原po心疼。這不叫做檢討被害人什麼才叫做檢討被害人", "06/19 19:26", "1"
"sex#M.1529405824.A.D8D#00006", "s87269x", "就有你這種人，台灣女權擁護者跟男性才會無法和解。", "06/19 19:26", "0"
"sex#M.1529405824.A.D8D#00007", "goal56", "中肯但是會被噓", "06/19 19:38", "0"
"sex#M.1529405824.A.D8D#00008", "goolie", "欠噓", "06/19 19:40", "0"
"sex#M.1529405824.A.D8D#00009", "rebecca1110", "我從頭到尾都沒有講起不起訴的事，重點是你自認為是女主角當初是自願的，只是後來覺得事情越想越不對勁補噓", "06/19 19:45", "1"
"sex#M.1529405824.A.D8D#00010", "rebecca1110", "這件事情根本就不是感情糾紛，沒有性侵證據你就可以說加害人很可憐然後說討厭噁心輕視嗎", "06/19 19:48", "1"
"sex#M.1529405824.A.D8D#00011", "byzzy", "重點是沒西斯", "06/19 19:54", "0"
"sex#M.1529405824.A.D8D#00012", "chanhowc", "笑死", "06/19 20:12", "0"
"sex#M.1529405824.A.D8D#00013", "sodahaini", "https//i.imgur.com/X3K6sYF.jpg", "06/19 20:16", "0"
"sex#M.1529405824.A.D8D#00014", "sodahaini", "你覺得我花時間跑警局跑醫院，都不用時間成本和壓力也不會因為結果不合期待很倒楣很賭爛那就這樣囉^_^", "06/19 20:19", "0"
"sex#M.1529405824.A.D8D#00015", "drawingbook", "天啊，你好可怕，助長性侵犯", "06/19 20:53", "0"
"sex#M.1529405824.A.D8D#00016", "githic", "你把你自己人生經歷跟原po經歷混為一談，你不是那個表哥，也不是原原po，但你帶入感很重。說什麼理性，你自己是用看似理性的討論包裝你自己的情感投射氣死，按錯，補噓沒噓到再噓……快誰來幫我噓一下，推到這篇渾身不舒服", "06/19 20:54", "0"
"sex#M.1529405824.A.D8D#00017", "sodahaini", "樓上XD", "06/19 20:56", "0"
"sex#M.1529405824.A.D8D#00018", "tentigo", "看不下去，天啊", "06/19 21:00", "0"
"sex#M.1529405824.A.D8D#00019", "githic", "而且你根本在自說自話，別人說A你回B，別人說B你回C。你，可以在確認誣告的新聞下面提出你的「高見」隨便你，但在別人剖開自己傷口的時候自以為是地提出一個「理性」的觀點？你大概覺得自己很理性不被情緒帶著走吧，但事實上你通篇的「理性」都是你主觀情緒引導你往這方向思考", "06/19 21:11", "0"
"sex#M.1529405824.A.D8D#00020", "jbc9926", "推樓上，這思考邏輯根本都是問題，還覺得自己很理性", "06/19 21:13", "0"
"sex#M.1529405824.A.D8D#00021", "adj3926", "純噓", "06/19 21:15", "0"
"sex#M.1529405824.A.D8D#00022", "orzkk88", "原原po說她有拒絕 你看懂嗎", "06/19 21:28", "0"
"sex#M.1529405824.A.D8D#00023", "cindyann", "純噓", "06/19 21:42", "0"
"sex#M.1529405824.A.D8D#00024", "toeic900", "你走錯版了", "06/19 21:44", "0"
"sex#M.1529405824.A.D8D#00025", "lanshou", "作為過來人只能噓了", "06/19 21:47", "0"
"sex#M.1529405824.A.D8D#00026", "yoyoboys1335", "你的一些論點有點道理所以我不噓你 不過不知所以，還是別亂發言了吧 XD", "06/19 21:52", "0"
"sex#M.1529405824.A.D8D#00027", "energy08789", "滾喇", "06/19 22:07", "0"
"sex#M.1529405824.A.D8D#00028", "cihoo000", "你以為不起訴只有一種可能喔！ 呵 呵", "06/19 22:14", "0"
"sex#M.1529405824.A.D8D#00029", "roro525266", "好一個理性", "06/19 22:21", "0"
"sex#M.1529405824.A.D8D#00030", "roro525266", "就是有人可以這麼自以為 有個噁", "06/19 22:23", "0"
"sex#M.1529405824.A.D8D#00031", "deter26", "因為我不是機器，所以不用太理性", "06/19 22:31", "0"
"sex#M.1529405824.A.D8D#00032", "libu", "理個頭", "06/19 22:35", "0"
"sex#M.1529405824.A.D8D#00033", "gy19900710", "你好噁心", "06/19 22:38", "0"
"sex#M.1529405824.A.D8D#00034", "kawababy", "整篇都很好，你也知道合意性交要16歲，所以純噓您那句「司法還他公道」", "06/19 22:41", "1"
"sex#M.1529405824.A.D8D#00035", "marcogs", "不是因為智障所以不起訴噢 嗯？", "06/19 22:44", "0"
"sex#M.1529405824.A.D8D#00036", "jack7722", "不知道你到底有什麼資格火大？你又知道是半推半就？兩，情相悅？看了你這篇莫名其妙的回文才火大吧...", "06/19 22:57", "0"
