"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1514468027.A.903#00000", "iamgun", "請各位看完文章以後不要再在類似的事件有類似的行為了。<br><br>也請順便阻止其他人繼續這樣做，謝謝。<br><br><br><br>－－－－<br><br><br>1.參與者所做的事根本沒必要公審（甚至有沒有「錯」都無法從旁得知）<br><br>2.參與者並未同意公開身分<br><br>3.參與者同意拍照不代表同意照片流出／傳播<br><br>基於以上三點，沒有任何外人有資格評論、散播和求站內信。<br><br><br><br><br>另外，性解放、性自主是有其特定意義跟解釋的，<br><br>不是一群白癡望文生義然後拿來攻擊別人的詞彙。<br><br>未經同意散布裸照不是你的性自主，是妨害了她們的性自主。<br><br>性解放也不是鼓勵大家開趴。（比較詳細的解釋可以看一下我之前的文章：<br>https://www.ptt.cc/bbs/sex/M.1481992390.A.676.html　）<br><br><br><br><br>再來，可以想想為什麼有很多焦點放在「參與女性有男友」，<br><br>而沒人關心參與男性的感情狀況？<br><br>又，這件事也就是各自關係內的討論，完全輪不到你來多嘴的。<br><br><br><br>最後附上臉書同溫層看到的文章（http://0rz.tw/tv8dQ）<br><br>【要害死幾個受害者才夠】<br><br>還記得建景事件嗎？<br>散佈的人被告，<br>女主角考上明星大學卻崩潰休學，<br>黑特戒嚴沒落。<br>幾個大一女生就算玩再大都沒有答應讓陌生人看，<br>我希望把 ig/fb/學校散布出來的那個人被告死。<br><br>八卦版都貼出被害人崩潰的求救訊息了，<br>可惜還是一堆精蟲求檔散佈檔案，<br>這次要害死幾個當事人我們才會住手？<br>想看情色圖片影片直接看色情片不夠嗎？<br>就算有男友，她有男友去群交她對不起的是男友不是鄉民，<br>而且去的男的也有女友。<br><br>不要去看，並且阻止你身邊的人去看，阻止你身邊的人去散佈。<br><br>p.s<br>Q: 女生自己愛玩也答應攝影師po照片到網路<br>A: 女生答應的是攝影師 po 的碼掉臉的，沒有臉的版本，鄉民求的是女生的個人資料<br>(fb/ig/學校系級/有臉的照片)<br><br>Q: 我不管，女生自願發生性關係的，就是要給看<br>A: 你發生性關係會給別人看嗎（？<br><br>說出「拍那種照片影片就要有外流的心理準備」的人就是垃圾<br>過馬路就要有被撞死的心理準備你怎麼還敢出門？怎麼不去死？<br><br>Q: 女生有男友還跟別人發生性關係就是賤<br>A:<br>1. 對，女生對不起男友，但沒有對不起你。<br>2. 女生沒有答應讓你這個陌生人看她的性愛照片，也沒有答應妳可以散播。<br><br>Q: 女權太高<br>A: 性自主權不是女權，男性也有性自主權，不懂提升性自主權跟女權(?女性主義?)有什<br>麼關係。女生喊性自主權所以要跟誰發生性關係都沒差的確是性自主權，她違反的是跟伴<br>侶之間只跟伴侶發生性關係的承諾，對不起的是伴侶，不是你。<br><br>文字出自：Mi Tseng<br><br><br>－－－－<br><br>以上，希望各位不要再到不論哪個版做這種事了。<br><br>現在不要，未來也不要。<br><br>拜託了。<br><br>--<br>", "", ""
"sex#M.1514468027.A.903#00001", "Foreverzz", "j三", "12/28 21:34", "0"
"sex#M.1514468027.A.903#00002", "chspoutre", "*", "12/28 21:35", "0"
"sex#M.1514468027.A.903#00003", "loveabaddon", "噢", "12/28 21:36", "0"
"sex#M.1514468027.A.903#00004", "cryy", "笑了，把拍照片跟出門畫等號這邏輯真的很棒", "12/28 21:36", "0"
"sex#M.1514468027.A.903#00005", "bluewade", "內文與標題不符", "12/28 21:36", "0"
"sex#M.1514468027.A.903#00006", "chuuuck", "too long didnt read hehexd", "12/28 21:36", "0"
"sex#M.1514468027.A.903#00007", "sing60905", "所以你看過了嗎？", "12/28 21:36", "0"
"sex#M.1514468027.A.903#00008", "CLching", "請問一下你有看過任何一張照片嗎？", "12/28 21:37", "0"
"sex#M.1514468027.A.903#00009", "a5401920", "西斯點呢？", "12/28 21:37", "0"
"sex#M.1514468027.A.903#00010", "exu0882300", "唉", "12/28 21:38", "0"
"sex#M.1514468027.A.903#00011", "marcus30295", "等肉搜的鄉民被定罪 我再推啦", "12/28 21:39", "0"
"sex#M.1514468027.A.903#00012", "tfoxboy", "肛", "12/28 21:40", "0"
"sex#M.1514468027.A.903#00013", "cherrychiao", "放ig不能分享？", "12/28 21:40", "0"
"sex#M.1514468027.A.903#00014", "cryy", "你的邏輯真的很不錯欸，直接幫我腦補我要講什麼 XD", "12/28 21:40", "0"
"sex#M.1514468027.A.903#00015", "ar33ar33", "100p收啦", "12/28 21:40", "0"
"sex#M.1514468027.A.903#00016", "spotmay", "說教是ni?", "12/28 21:41", "0"
"sex#M.1514468027.A.903#00017", "cryy", "我有說這些照片可以跟公開資訊畫上等號嗎 哈，這篇文我就只有這點不能認同，如果您不能接受其他意見還是回去自己的同溫層吧", "12/28 21:42", "0"
"sex#M.1514468027.A.903#00018", "dfgh012316", "那闖紅燈可不可以預期會被撞?", "12/28 21:44", "0"
"sex#M.1514468027.A.903#00019", "wasipopo2", "呸", "12/28 21:44", "0"
"sex#M.1514468027.A.903#00020", "zxxch123", "搞毛唷 要不到在那邊裝清高", "12/28 21:44", "0"
"sex#M.1514468027.A.903#00021", "komifree", "魔人", "12/28 21:45", "0"
"sex#M.1514468027.A.903#00022", "AAAB", "對我來講，若無聊的網友肉搜那群參與者，以結果論避免了將來有不知那群參與者過去的人與他們交往、結婚（即便無聊的網友", "12/28 21:45", "1"
"sex#M.1514468027.A.903#00023", "YCC28", "可是我感覺到他們很開心", "12/28 21:46", "0"
