"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1561256753.A.816#00000", "ptt987654321", "正能量狂粉<br>就是自己喜歡的人事物，一點點負面的都休想讓其沾上<br>只要感覺你不是正能量大隊的，你不是我這邊的，那我就拚了命的戰你抹你酸你<br><br>甚至腦補對方就是自己想像的那麼壞，甚至要連對方沒說出口的話都要塞到對方嘴巴<br>舉著正能量大旗，什麼都是對的了，用什麼手段都變成正義之舉了<br>然後路人看著風向正確又大就尬廣跟上一起享受霸凌的快感<br><br>這種正能量狂粉也是很恐怖的啦<br>因為這種最喜歡玩極端二分法<br><br>這篇就一堆正能量狂粉了，還好意思說別人狂粉?<br>回嘴就說崩潰，不回嘴就說孬；反正要酸人不怕找不到理由<br>都給你們講就好啦!玩霸凌沒比較行啦<br><br>不一個個回了，現在已經陷入這種狀況，一個個回沒意義了<br>*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*<br><br>不好意思，這篇有點負面喔<br>不是很喜歡那種，聲優結婚都一定要祝福，不能負能量的風氣<br>雖然我是不關心聲優<br>但總是有人有負能量想發洩，卻礙於風向逆風而不敢<br>不喜歡聲優負能量的，請左轉別看下去了<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>記得之前竹達上節目，有說事務所原則上禁止戀愛，希望30歲過後再說<br>https://reurl.cc/6OvdV<br>恩，看來真的只是原則上而已，不太可能今天30歲才開始戀愛馬上結婚吧<br>一定交往一段時間惹<br><br>那很明顯，這個巡迴演唱，可以視為最後一撈<br>(其實日本那邊有人早猜到了，30歲前的巡迴演唱，生日當天會有大事)<br>最後一撈完了，今天也宣布結婚了，也剛好30歲，就宣布下去惹<br><br>看來30歲前的禁止交往，真的只是原則上說說而已，不是簽約禁令<br>不然就是節目上只是作作效果，讓宅男幻想一下他還沒男友<br>或是他根本沒在屌事務所的原則禁令，賭不會被事務所知道<br>不然就是根本沒有禁令，節目效果，然後事務所也知道，就安排最後一撈<br><br>畢竟很多年輕聲優結婚之後配音作品都變少了，或是除了續作幾乎就沒再配了<br>現實就是結婚之後人氣真的會下降(特殊案例不算)<br><br><br><br><br>不過文春炮也真遜，結婚之前一定有交往，沒被抓到<br><br><br>※ 引述《Katsuyuki118 (勝之)》之銘言：<br>: 竹達彩奈從六月一日開始展開"竹達彩奈LIVE HOUSE TOUR 2019「A」"的巡迴演唱<br>: 最後一場在老家琦玉<br>: 行程如圖:<br>: https://pbs.twimg.com/media/D9RRmqNU4AENlZi.jpg @monio965<br>: 大阪場<br>: https://pbs.twimg.com/media/D7-RPg0VUAAs1xh.jpg<br>: 廣島場<br>: https://pbs.twimg.com/media/D8DazXlUIAAsb_9.jpg<br>: 廣島場的慶功宴合照<br>: https://pbs.twimg.com/media/D8Yb0DPUcAE__Tv.jpg<br>: 在廣島吃吃喝喝<br>: https://pbs.twimg.com/media/D8dO04BUYAUeBkq.jpg<br>: 名古屋場的合照<br>: https://pbs.twimg.com/media/D8ipuTTVUAAY8pE.jpg<br>: 在後台打UNO<br>: https://pbs.twimg.com/media/D8l33RfU8AEje2l.jpg<br>: 慘敗的彩喵<br>: https://pbs.twimg.com/media/D8l3_tXUIAAHOvM.jpg<br>: 在這次的巡迴演唱中使用的是K-on Live Come with Me的那把Mustang<br>: 今天的推文:<br>: 10年ぶりのむったん。じゃじゃ馬！  十年不見的小野馬，野馬!<br>: 私の血と汗と涙が詰まっている！！  充滿著我的血汗與淚水!!<br>: 他の楽器たちも、ずっと綺麗に保管されているんですよ！<br>: 其他樂器們，也一直被乾淨的保管著哦!<br>: https://pbs.twimg.com/media/D9VQvonUEAA3ddN.jpg<br>: 對照:come with me時的彩喵<br>: https://imgur.com/MbjR0Nr.jpg<br>: 彩喵也是越來越漂亮了~<br>: 而K-ON將永垂不朽!<br><br>--<br>", "", ""
"C_Chat#M.1561256753.A.816#00001", "WindSpread", "哈", "06/23 10:26", "0"
"C_Chat#M.1561256753.A.816#00002", "jeff235711", "？", "06/23 10:27", "0"
"C_Chat#M.1561256753.A.816#00003", "Fewer", "不懂在負能量啥 能嫁就很好了", "06/23 10:27", "0"
"C_Chat#M.1561256753.A.816#00004", "mk4188623", "所以你想表達啥 我怎麼有看沒有懂", "06/23 10:28", "0"
"C_Chat#M.1561256753.A.816#00005", "amanda0ray", "關風向什麼事", "06/23 10:28", "0"
"C_Chat#M.1561256753.A.816#00006", "dearjohn", "一堆人妻聲優~說什麼人氣下降過氣只是自己實力不足 www", "06/23 10:28", "1"
"C_Chat#M.1561256753.A.816#00007", "cross980115", "這篇是在說 不是能不能嫁，而是早就預定要嫁，然後在那個30歲的不成文規定前再撈一票吧聽起來很陰謀論就是了...", "06/23 10:29", "1"
"C_Chat#M.1561256753.A.816#00008", "DivineSX", "？？？", "06/23 10:29", "0"
"C_Chat#M.1561256753.A.816#00009", "v789678901", "啊本來就沒怎樣這樣你也可以怪到不能負面的風情喔，想發洩就說啊還硬要先說這些有的沒的喔", "06/23 10:30", "1"
