"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1542260006.A.400#00000", "pinacolada", "https://i.imgur.com/sLFVFiH.jpg<br>有人也覺得把『初中』<br>(不管是公立或私立的)<br>都講成『國中』很不OK嘛？<br><br>初中顧名思義是初等(級)中學<br>是進行前期中等教育的學校 Junior High School<br>故後期中等教育學校稱為高級中學<br>也就是高中               Senior High School<br><br>Elementary school 初級學校 = 小學<br>High school 高級學校 = 因為有大學這更高教育層級 故稱中學<br>College / University =大學<br><br>因應70年代我國施行9年國民義務教育<br>將初級中學改稱國民中學<br>如今14年起實施的12年國民義務教育<br>是否可以說打破這個更名的創制意義？<br>高中一(二、三)年級改叫國四(五、六)<br>這樣還不如稱國(高)一為七(十)年級<br><br>再者私人辦學幾乎不以"國民"命名<br>且私校多為高中為主初級以下作附屬<br>所以中等部不會居泥在校名稱謂上<br>故私人學校多沒有給人留下"國中"的印象<br>如私立維多利亞雙語中小學<br>私校多有完全中學(上行維校就是小中高一貫校及幼兒園)<br>年級分部 高等部 中等部 初等部 淺顯易懂<br>但若改稱 高中部 國中部 國小部 整個命名規律都不協調了<br><br>好啦 給大家看那麼多廢話<br>我就只是覺得只有中華民國在用國中國中的很不入流啦ww<br>很有中華民國美學<br><br>--<br>", "", ""
"C_Chat#M.1542260006.A.400#00001", "BITMajo", "習慣了，嗯？還以為我還在逛女板...", "11/15 13:34", "0"
"C_Chat#M.1542260006.A.400#00002", "coon182", "放一張圖就有點了...文真好寫", "11/15 13:34", "0"
"C_Chat#M.1542260006.A.400#00003", "pinacolada", "很常見吧這種翻譯用法很常見吧 就是基於日常", "11/15 13:35", "0"
"C_Chat#M.1542260006.A.400#00004", "violegrace", "??", "11/15 13:35", "0"
"C_Chat#M.1542260006.A.400#00005", "zeyoshi", "國中生聽起來比七年紀生騷", "11/15 13:35", "0"
"C_Chat#M.1542260006.A.400#00006", "popgsct", "工三小 滾去八卦板問", "11/15 13:35", "0"
"C_Chat#M.1542260006.A.400#00007", "Shichimiya", "習慣用法啊", "11/15 13:36", "0"
"C_Chat#M.1542260006.A.400#00008", "helba", "這很重要ㄇ", "11/15 13:36", "0"
"C_Chat#M.1542260006.A.400#00009", "FrogStar", "ㄛ", "11/15 13:36", "0"
"C_Chat#M.1542260006.A.400#00010", "wel0789321", "ACG點也太弱", "11/15 13:37", "0"
"C_Chat#M.1542260006.A.400#00011", "snocia", "嗯 對 所以？", "11/15 13:37", "0"
"C_Chat#M.1542260006.A.400#00012", "keyman616", "初一拜拜，初二回娘家，五樓初三上班", "11/15 13:37", "0"
"C_Chat#M.1542260006.A.400#00013", "asdf70044", "誰在乎==", "11/15 13:37", "0"
"C_Chat#M.1542260006.A.400#00014", "HotKid", "不是很重要,你希望再把納稅錢花在改名這種事?", "11/15 13:38", "0"
"C_Chat#M.1542260006.A.400#00015", "happy8649", "？？？？到底要講什麼", "11/15 13:38", "0"
"C_Chat#M.1542260006.A.400#00016", "jason1515", "關我屁事 這有ACG點嗎", "11/15 13:38", "0"
"C_Chat#M.1542260006.A.400#00017", "acininder", "？？", "11/15 13:38", "0"
"C_Chat#M.1542260006.A.400#00018", "roywow", "當你個版？", "11/15 13:39", "0"
"C_Chat#M.1542260006.A.400#00019", "a1919979", "國一國二國三早就被改名為七八九年級了", "11/15 13:40", "0"
"C_Chat#M.1542260006.A.400#00020", "md01yo30", "12年叫基本國民教育，不是義務。", "11/15 13:40", "0"
"C_Chat#M.1542260006.A.400#00021", "uiue", "喔", "11/15 13:41", "0"
"C_Chat#M.1542260006.A.400#00022", "hedgehogs", "拘泥", "11/15 13:41", "0"
"C_Chat#M.1542260006.A.400#00023", "Neil000", "bang!!", "11/15 13:42", "0"
"C_Chat#M.1542260006.A.400#00024", "erogod", "好哦", "11/15 13:43", "0"
"C_Chat#M.1542260006.A.400#00025", "ire5566", "？？？", "11/15 13:43", "0"
"C_Chat#M.1542260006.A.400#00026", "a1919979", "至少九年義務教育時期正式稱呼就改了 只是民間不care", "11/15 13:43", "0"
"C_Chat#M.1542260006.A.400#00027", "pinacolada", "七八九年級那個我還真不知道 基本國教那個應該沒差", "11/15 13:43", "0"
"C_Chat#M.1542260006.A.400#00028", "swxswxet", "who cares", "11/15 13:44", "0"
"C_Chat#M.1542260006.A.400#00029", "imz0723", "國中國", "11/15 13:44", "0"
"C_Chat#M.1542260006.A.400#00030", "jason1515", "七八九年級不知道的應該都蠻老的", "11/15 13:45", "0"
"C_Chat#M.1542260006.A.400#00031", "gfhnrtjpoiuy", "乾             我             屁             事", "11/15 13:46", "1"
