"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1519883345.A.CEA#00000", "addog74", "強者我朋友，最近跟我們這些兄弟聚會時說跟女友談到預計暑假時訂婚、鬼月過後下一個月結婚，且已經跟女方父母稍稍提過了<br><br>身為做了七、八年的兄弟，其實大家有點擔心，因為他的女友公主病頗嚴重，但因為強者朋友是好好先生，所以交往三年多也是關關難過關關過到現在<br><br>可現在他真的要結婚了，我很怕他以後變成最佳損友的豬哥超那麼慘，所以我突然福至心靈，跟他說在結婚前務必要簽婚前協議書，免得以後後悔都沒得哭<br><br>強者朋友經我們力勸後勉為其難同意，並要我們幫他想想協議書內容，結果後半場聚會就莫名其妙的變成腦力激蕩大會XD<br><br>總之，經過大家出一堆中肯的鬼主意後，協議書內容出爐了：<br><br>1.男女雙方財產權自主，不得干涉<br><br>2.若日後因第三者介入導致婚姻關係結束，受害方得請求出軌方一半財產<br><br>3.日後房屋登記為共同持有<br><br>4.女方因懷孕、照顧子女等原因而不願繼續工作時，男方需給付一半收入予女方<br><br>5.上述第4點成立時，女方應負擔家管及照顧<br>子女之責，負責維持家中環境整潔、三餐烹<br>煮、衣物洗滌…等「全部」家事責任及照護子女責任<br><br>6.家中開支由夫妻所得照比例分配（ex:男方<br>月薪8萬、女方月薪4萬，家庭開支男方則需<br>負擔三分之二、女方需負擔三分之一）<br><br>7.婚後可不與雙方父母同住<br><br>8.婚後不得甘涉另一半回去探望父母之行動，惟不得過夜，若需過夜需經另一半同意<br><br>大體上是這樣，結束聚會時大家千叮嚀萬交代強者朋友一定要拿給他女友看，同意再談婚嫁<br>.<br>.<br>.<br>.<br>.<br>結果昨天晚上他在群組對我們這群兄弟發飆，說女友大爆炸,說要分手,說都是我們害的！<br><br>我們這些兄弟真的很無奈，感覺好心被雷親，於是想來問大家：結婚前跟另一半說簽婚前協<br><br>-----<br>Sent from JPTT on my Sony E6553.<br><br>--<br>", "", ""
"Boy-Girl#M.1519883345.A.CEA#00001", "fujioqq", "你們這群傻瓜淌這渾水幹嘛啦XDDD", "03/01 13:50", "0"
"Boy-Girl#M.1519883345.A.CEA#00002", "kuraki156", "我是女生朋友提議簽 男方不同意...所以跟男女沒關係", "03/01 13:51", "0"
"Boy-Girl#M.1519883345.A.CEA#00003", "wdclatin", "覺得付錢就可以不做家事不顧小孩，那這個家到底是誰的", "03/01 13:51女方可以不要辭職啊", "1"
"Boy-Girl#M.1519883345.A.CEA#00004", "benxyz", "錯的是把第1條跟第5條寫進去 蠢", "03/01 13:51", "0"
"Boy-Girl#M.1519883345.A.CEA#00005", "wdclatin", "啊…回娘家過夜還要經過同意？？其他的還好，這兩條女，5真的超爛 再講一次。", "03/01 13:51", "0"
"Boy-Girl#M.1519883345.A.CEA#00006", "final007", "跟他說大便不能吃，他會抓狂以為你要跟他搶大便吃。", "03/01 13:52", "0"
"Boy-Girl#M.1519883345.A.CEA#00007", "ar0sdtmi", "第四點給女方的比例可以再拉高一些 因為你第五點是要求", "03/01 13:52", "0"
"Boy-Girl#M.1519883345.A.CEA#00008", "Justy0615", "沒錯阿 一張協議書就看清一個人了", "03/01 13:52", "0"
"Boy-Girl#M.1519883345.A.CEA#00009", "icegail", "簽婚前協議很ok，但你們的條件很爛！", "03/01 13:53", "0"
