"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560597932.A.DD5#00000", "BigCat", "1.媒體來源:<br>ETtoday<br><br><br>2.記者署名<br>記者曾俊豪／綜合報導<br><br><br>3.完整新聞標題:<br>《逃犯條例》緩修法　林鄭月娥：因台灣不接受移交建議<br><br><br>4.完整新聞內文:<br><br>https://cdn2.ettoday.net/images/4167/d4167240.jpg<br>▲香港特首林鄭月娥宣布暫緩《逃犯條例》修法。（圖／翻攝香港政府網）<br><br>記者曾俊豪／綜合報導<br><br>香港特首林鄭月娥今（15日）下午親自召開記者會，宣布暫緩《逃犯條例》修法工作。林<br>鄭月娥坦承解說工作不足，導致民眾對修例有疑慮，港府會重新與社會各界溝通，做更多<br>解說。至於決定暫緩的原因，她則提到是因為台灣不接受港府建議安排下移交台灣殺人案<br>疑犯，使得修例在今年7月前通過的迫切性不復存在。<br><br>林鄭月娥指出，香港社會對修訂條例草案出現極分歧意見，過去一周數以萬計市民遊行，<br>周日及周三更出現嚴重衝突，她對此感痛心，「作為負責任政府，要審時度勢，保障香港<br>最大福祉，包括令社會盡快回復平靜，避免執法人員及市民受傷害。」<br><br>她表示，修例初衷是出自自己和管治團隊對香港的熱愛和港人的關心，但由於他們的工作<br>不足和種種原因，令這兩年來相對平靜的香港社會再次出現好大的矛盾和紛爭，令許多市<br>民痛心，將用最有誠意的態度接受批評，繼續與市民同行。<br><br>https://cdn2.ettoday.net/images/4167/d4167308.jpg<br>▲香港民眾緊盯林鄭月娥記者會。（圖／記者吳奕靖攝）<br><br>不過，在6月12日「反送中」爆發流血衝突後，港府態度一度相當強硬，政務司長張建宗<br>13日受訪時便提到，港府不會撤回條例，並認為修例已作多重保障。態度的轉變，港媒《<br>星島日報》、《香港無線衛星電視台》均報導與北京高層南下有關，但林鄭月娥卻表示，<br>是因為香港女子潘曉穎命案有關。<br><br>林鄭月娥提到，考慮到台灣不接受港府建議安排下移交台灣殺人案疑犯，修例於今年7月<br>前通過的迫切性不復存在，這兩天政府內部反覆討論，決定暫緩修例工作。<br><br>她強調，會盡快找方法處理，一方面處理台灣殺人案，彰顯公義，給死者父母一個交代，<br>亦盡力完善香港法制。保安局局長李家超將致函立法會主席梁君彥，收回條例草案恢復二<br>讀辯論的預告，立法會修例的工作會暫停，並且不設立時限，徵詢意見後才繼續下一步工<br>作。<br><br><br>5.完整新聞連結 (或短網址):<br>https://www.ettoday.net/news/20190615/1468065.htm<br><br><br>6.備註:<br>來看這篇新聞會有幾個噓。<br><br>--<br>", "", ""
"Gossiping#M.1560597932.A.DD5#00001", "husky5566", "怪我囉", "106.104.34.179 06/15 19:25", "0"
"Gossiping#M.1560597932.A.DD5#00002", "Drzowy", "我先", "180.217.196.149 06/15 19:26", "0"
"Gossiping#M.1560597932.A.DD5#00003", "elainakuo", "自己的問題怪台灣", "36.225.46.159 06/15 19:26", "0"
"Gossiping#M.1560597932.A.DD5#00004", "Neisseria", "想推給小菜，UCCU", "36.231.165.198 06/15 19:26", "0"
"Gossiping#M.1560597932.A.DD5#00005", "dWoWb", "幹 怪我囉?", "36.231.21.121 06/15 19:26", "0"
"Gossiping#M.1560597932.A.DD5#00006", "siopp", "關台灣屁事", "42.74.192.33 06/15 19:26", "0"
"Gossiping#M.1560597932.A.DD5#00007", "musuchicken", "QQ", "42.77.77.15 06/15 19:26", "0"
"Gossiping#M.1560597932.A.DD5#00008", "awesomeSS66", "靠北喔 現在黨中央在台灣就是了?", "111.248.11.144 06/15 19:26", "0"
"Gossiping#M.1560597932.A.DD5#00009", "c6587924", "關台灣屁事", "125.224.133.22 06/15 19:26", "0"
