"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561510602.A.A01#00000", "Eliphalet", "1.媒體來源:<br><br>聯合<br><br>2.記者署名<br><br>記者白錫鏗╱即時報導<br><br>3.完整新聞標題:<br><br>幼女慘遭酷刑致左腎萎縮 還被棍刺下體狼父遭重判<br><br>4.完整新聞內文:<br><br>男子「阿郎」因4歲女兒習慣便溺在褲中，即對女兒以熱水淋身、菸蒂燙、電擊、老虎鉗<br>夾指頭、手腳踹打幼女，致幼女全身傷痕累累，左腎萎縮無法復原，還以棍子刺下體性侵<br>害，台中地院依傷害、重傷害、強制性交等罪將他重判12年。可上訴二審。 <br><br>「阿郎」（化名）坦承對女兒施以熱水淋身、菸蒂燙、抓癢耗子打身體、或以手腳猛力踹<br>打，但否認以老虎鉗夾女兒手指、腳指，也否認以電蚊拍電擊女兒。<br><br>不過「阿郎」的妻子在警詢時稱丈夫對幼女電擊、鉗夾指頭，但在檢察官偵訊，在丈夫在<br>場情形下，即改稱未看到丈夫拿老虎鉗或電蚊拍傷害女兒，法官從被害人額頭被電擊的傷<br>痕、以及手指、腳指甲損傷、多處血塊、甚至發黑，認定「阿郎」的妻子在維護丈夫。<br><br>「阿郎」也否認以異物戳幼女下體，但法官查出幼女下體有陳舊性裂傷，被害人也證稱父<br>親拿棍子刺尿尿的地方、用棍子打尿尿的地方很多次。<br><br>判決書指出，「阿郎」是幼女的生父，因不滿幼女尚未習成正常如廁習慣，屢次便溺在褲<br>中，即於2017年5月、6月、10月間，在住處以熱水淋身、菸蒂燙身體、以抓癢耗子打身體<br>、以老虎鉗夾手指及腳指、以電蚊拍電擊、或以手腳猛力踹打。<br><br>致幼女頭、臉、頸、胸、手、及下體，多處2、3度燙傷，顏面、右耳、軀幹、四肢及會陰<br>部新舊瘀傷，腹部腫脹、胸腔積水、外傷性乳糜腹水、骨盆骨折、及左腎難以復原的重傷<br>害。<br><br>「阿郎」還於2017年3月底起至同年6月12日止，在住處以不詳異物強行插入幼女下體，致<br>被害人下體有陳舊性傷痕。<br><br>至2017年6月12日，社工前往「阿郎」家訪視，發現被害幼女全身有明顯外傷，帶被害人<br>至醫院就醫驗傷，並通報警方處理。法官審酌「阿郎」身為被害人之父，未能善盡照顧之<br>責，反施以暴力酷刑，造成被害人身心難以抹滅的鉅傷，予以判重刑。<br><br>https://uc.udn.com.tw/photo/2019/06/25/realtime/6485165.jpg<br>男子「阿郎」因4歲女兒未養成如廁習慣便溺在褲中，即施以酷刑，致幼女全身傷痕累累<br>，左腎萎縮無法復原，還以棍子刺下體性侵害，台中地院強制性交等罪將他重判12年。圖<br>／本報資料照<br><br>5.完整新聞連結 (或短網址):<br><br>https://udn.com/news/story/7321/3892476<br><br>6.備註:<br><br>......<br><br>--<br>", "", ""
"Gossiping#M.1561510602.A.A01#00001", "sauchi39", "去死 幹", "180.217.189.111 06/26 08:57", "0"
"Gossiping#M.1561510602.A.A01#00002", "xzcb2008", "又是新北 幹", "223.138.206.158 06/26 08:57", "0"
"Gossiping#M.1561510602.A.A01#00003", "bengowa", "台中新北 嘔嘔嘔嘔嘔嘔", "49.217.32.159 06/26 08:57", "0"
"Gossiping#M.1561510602.A.A01#00004", "WTF55665566", "台中新北租界", "223.137.63.59 06/26 08:58", "0"
"Gossiping#M.1561510602.A.A01#00005", "yoher", "還有白癡說天下無不是的父母嗎？", "123.241.173.82 06/26 08:58", "0"
"Gossiping#M.1561510602.A.A01#00006", "BELKA", "這種直接關100年!!", "114.136.53.239 06/26 08:58", "0"
"Gossiping#M.1561510602.A.A01#00007", "a8239060", "垃圾渣", "24.205.12.177 06/26 08:59", "0"
"Gossiping#M.1561510602.A.A01#00008", "RossiBean", "沒人性畜牲，到底是不是親生的啊", "223.137.169.173 06/26 08:59", "0"
"Gossiping#M.1561510602.A.A01#00009", "poqwiuer", "重判12年？", "42.72.241.243 06/26 08:59", "0"
"Gossiping#M.1561510602.A.A01#00010", "lester34567", "台中新北 這種的不能槍斃嗎？", "118.108.52.148 06/26 08:59", "0"
"Gossiping#M.1561510602.A.A01#00011", "scott0104", "才12年，怎麼不關到他漏尿", "118.171.34.229 06/26 08:59", "0"
"Gossiping#M.1561510602.A.A01#00012", "jim924211", "畜生，這種不能判死喔", "101.13.72.242 06/26 09:00", "0"
"Gossiping#M.1561510602.A.A01#00013", "kraven", "判太輕", "113.80.61.114 06/26 09:00", "0"
"Gossiping#M.1561510602.A.A01#00014", "yameide", "垃圾", "180.217.93.166 06/26 09:00", "0"
"Gossiping#M.1561510602.A.A01#00015", "iam0718", "可憐 小孩長大影響心理又是一個問題", "118.171.133.178 06/26 09:00", "0"
"Gossiping#M.1561510602.A.A01#00016", "yan12487", "垃圾人", "114.39.26.245 06/26 09:00", "0"
"Gossiping#M.1561510602.A.A01#00017", "deltarobot", "幹你娘 死刑啦", "101.13.35.212 06/26 09:01", "0"
