"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1560635397.A.CCA#00000", "o02852six", "我們常常在同一個中國裡 區分我們是台灣人<br><br>而台海對岸則是大陸人<br><br>可是 我們台灣人 也都是從大陸來的<br><br>不要說 49年來台的外省人 大部份閩南人 跟客家人<br><br>都是從大陸來的大陸人 就連高山族<br><br>大陸學者都考證出來 都是源自於 馬祖的亮島人<br><br>也就是說 在台灣的人 根本全部都是大陸人<br><br>所以 我們不只都是中國人 更全部都是大陸人<br><br>根本不存在台灣人這一詞<br><br>所以 我們台灣人 都是大陸人<br><br>有沒有八卦呢？<br><br>--<br>", "", ""
"Gossiping#M.1560635397.A.CCA#00001", "gogobar", "會有智障鬼扯非洲人", "49.216.18.118 06/16 05:50", "0"
"Gossiping#M.1560635397.A.CCA#00002", "GPX2020", "美國人 也是英國人 也是非洲人 ^0^", "111.249.179.6 06/16 05:51", "0"
"Gossiping#M.1560635397.A.CCA#00003", "bullshit2", "推 血脈斷不了 懂？", "1.166.56.217 06/16 05:51", "0"
"Gossiping#M.1560635397.A.CCA#00004", "LaodaIsHere", "一樓推我就噓", "49.217.149.23 06/16 05:51", "0"
"Gossiping#M.1560635397.A.CCA#00005", "MissFaye", "大家都是非洲人", "118.232.223.218 06/16 05:51", "0"
"Gossiping#M.1560635397.A.CCA#00006", "impressive", "大清早別出來耍韓", "111.83.135.174 06/16 05:56", "0"
"Gossiping#M.1560635397.A.CCA#00007", "new2smart7", "what the hell", "49.216.165.221 06/16 05:56", "0"
"Gossiping#M.1560635397.A.CCA#00008", "Mubing", "推", "123.193.23.131 06/16 05:57", "0"
"Gossiping#M.1560635397.A.CCA#00009", "azureashin", "不要是喜歡共產或是共產黨的人就好了", "114.27.129.189 06/16 05:58", "1"
"Gossiping#M.1560635397.A.CCA#00010", "lithaimo", "美國人表示：", "49.159.136.14 06/16 05:58", "0"
"Gossiping#M.1560635397.A.CCA#00011", "wjchao", "別再裝台灣人了，帳號買來的", "223.138.21.217 06/16 06:00", "0"
"Gossiping#M.1560635397.A.CCA#00012", "HuangJC", "八卦是你根本不知道關鍵在哪..", "223.141.87.29 06/16 06:01", "0"
"Gossiping#M.1560635397.A.CCA#00013", "HuangJC", "政治上'愛台灣'一詞已經變成一個笑話，但事實上，愛台灣真的可以是個標準如果大陸某人，他愛台灣，為台灣著想，那就算他人在大陸，我們也覺得他可親..而血緣，出生地，居住地，只是很粗略的在", "223.141.87.29 06/16 06:03", "0"
"Gossiping#M.1560635397.A.CCA#00014", "touchbird", "我的祖先是藍綠藻 地球一家親", "114.137.90.22 06/16 06:03", "0"
"Gossiping#M.1560635397.A.CCA#00015", "HuangJC", "區分一個人是否可能愛台灣。那不是標準", "223.141.87.29 06/16 06:05", "1"
"Gossiping#M.1560635397.A.CCA#00016", "linda17a3", "我說過了啊 啊就是啊", "42.74.1.54 06/16 06:05", "0"
"Gossiping#M.1560635397.A.CCA#00017", "nangel", "釣不到", "223.136.83.159 06/16 06:06", "0"
"Gossiping#M.1560635397.A.CCA#00018", "m303lover", "美國人都是英國人 澳洲人也是英國人，所以是英國美洲屬地英國大洋洲屬地", "111.252.105.77 06/16 06:13", "0"
"Gossiping#M.1560635397.A.CCA#00019", "nptrj", "想當人的都逃出中國了", "27.52.190.35 06/16 06:23", "0"
"Gossiping#M.1560635397.A.CCA#00020", "niko0202", "我祖先有清朝的 日本的 沒有中共", "111.241.24.30 06/16 06:26", "0"
"Gossiping#M.1560635397.A.CCA#00021", "NBAKingJAMES", "YES", "36.224.135.97 06/16 06:38", "0"
"Gossiping#M.1560635397.A.CCA#00022", "icecastle", "我現在了解為啥裝熟的人會討人厭了", "111.254.34.103 06/16 06:40", "0"
"Gossiping#M.1560635397.A.CCA#00023", "vcx530", "滾啦…，台灣人不是支那人支那是個下三濫，世界公敵的代號", "61.228.248.29 06/16 06:48", "0"
"Gossiping#M.1560635397.A.CCA#00024", "Drkate", "什麼邏輯", "42.73.24.112 06/16 06:49", "0"
"Gossiping#M.1560635397.A.CCA#00025", "titlis", "一大早就討噓", "110.165.161.42 06/16 06:50", "0"
"Gossiping#M.1560635397.A.CCA#00026", "mjsie", "滾", "39.10.196.177 06/16 06:50", "0"
"Gossiping#M.1560635397.A.CCA#00027", "ghrpjjh6es", "一樓推就表示有問題", "117.19.172.9 06/16 06:54", "0"
"Gossiping#M.1560635397.A.CCA#00028", "grass930", "你爽就好", "123.193.231.241 06/16 07:01", "0"
"Gossiping#M.1560635397.A.CCA#00029", "titlis", "再噓", "110.165.161.42 06/16 07:02", "0"
"Gossiping#M.1560635397.A.CCA#00030", "demitri", "假五毛 大陸=非台灣的中國大陸地區，真五毛會說：台灣人就是中國人 懂嗎？", "104.32.187.152 06/16 07:03", "0"
"Gossiping#M.1560635397.A.CCA#00031", "greenmaplex", "合理", "101.13.204.90 06/16 07:03", "0"
"Gossiping#M.1560635397.A.CCA#00032", "Rainbow5566", "不是中國人幹嘛那麼關心送中問題", "223.137.20.119 06/16 07:03", "0"
"Gossiping#M.1560635397.A.CCA#00033", "wholewing", "我不是大陸人，我是台灣人，我他媽也不是中國人，幹你娘機掰", "125.224.163.68 06/16 07:04", "0"
"Gossiping#M.1560635397.A.CCA#00034", "ikai99", "依這邏輯，全非洲都統一就好", "172.72.192.209 06/16 07:06", "0"
"Gossiping#M.1560635397.A.CCA#00035", "zz71", "你才支那人 你們全家都支那人", "115.82.225.107 06/16 07:07", "0"
"Gossiping#M.1560635397.A.CCA#00036", "gz", "中國人都是非洲人", "223.137.13.72 06/16 07:08", "0"
"Gossiping#M.1560635397.A.CCA#00037", "po123953", "我祖上有滿清的 有日治的 有中華民國的就是沒有中共的", "101.12.131.247 06/16 07:11", "1"
"Gossiping#M.1560635397.A.CCA#00038", "Sylpha", "你這樣鍵盤番會出來鄙視你哦母湯", "111.185.250.237 06/16 07:12", "0"
"Gossiping#M.1560635397.A.CCA#00039", "zxc1020305", "大家都是非洲人，別分這麼細", "114.137.60.155 06/16 07:15", "0"
"Gossiping#M.1560635397.A.CCA#00040", "AntiqueTea", "原來紐澳原住民也是大陸人！", "27.52.140.75 06/16 07:19", "0"
"Gossiping#M.1560635397.A.CCA#00041", "peterwu4", "照原PO講法我們是大陸人中的台灣人~", "122.116.220.6 06/16 07:25", "0"
