"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1532790514.A.76B#00000", "abandoner", "我是原ＰＯ男友，來回個文<br><br>=======<br><br>其實看到留言也是蠻難過的ＸＤ蠻多留言都把我講的很難聽。不過如果是我看文章應該也<br>會有這個反應吧。因為事件沒有時間線，所以可能造成一些誤會，所以想來解釋一下<br><br>我先針對幾點來回覆：<br><br>1.騎驢找馬、想追Ａ追不到...：<br>我剛剛回去看了聊天記錄，的確，在我還沒有認識我女友前，Ａ算是最頻繁聊天的女生，<br><br>但是認識我女友之後，頻率有變少，而且我和我女友是每天聊天。<br><br>原文事件中說的和Ａ出去，都是在“我和我女友認識之前”。<br><br>我之前已經鮮少和Ａ約出去，更別說我認識女友之後了。<br><br>精確地來說：看手機存到現在的聊天記錄，我跟A只約出來五次（單獨的）。<br><br>沒有一起看過電影，沒有看過夜景，沒有約會的行程，而且沒有過上述這些，是因為我沒<br><br>有約過她，並非約過被打槍。<br><br>2.和Ａ的聊天記錄：<br><br>女友原文說的那些我們的確有說過，但是我覺得那是在”單身的時候“，雖然那樣子說的<br><br>確還是怪怪的，但我可以理直氣壯地說：我和女友認識之後，我沒跟Ａ說過任何這類的話<br><br>。甚至我和Ａ的對話很多是我在跟他分享我跟女友的事情。<br><br><br>3.澎湖行：<br><br>這點是我認為最具爭議的，的確這組合是有些奇怪。但我一樣回去看了聊天記錄，是“和<br><br>女友認識之後，在一起之前約好”的，但訂好民宿，船票那些是在我和女友在一起之後才<br><br>訂的，這部分是我應該那時候想好喊卡的，我承認。但是我要說，很多留言說為什麼女友<br><br>不跟來，我在還沒訂飯店船票的時候就先問過女友要不要一起來了。但是那時候Ａ就有提<br><br>到“欸你不要帶女友啦，不然我要睡地板了。”女友聽到了，所以就不願意一起去。<br><br>再來，一起搭車的這部分，這是我錯，沒什麼要補充的。<br><br>我們如果去的話床位分配是這樣子：Ａ 情侶女 情侶男 我 。 大家可能覺得我在打嘴砲<br><br>，但我們前兩年一起出遊的時候就是這樣子分配床位。機車的話也的確會是我跟情侶男生<br><br>一台，前兩年出遊也是這樣。<br><br><br>4.沒有能力改、說一套做一套這點：<br><br>在事件一（叫錯名字）之後，我有和Ａ說過，我覺得繼續聊天我女友可能越來越不開心，<br><br>所以從叫錯名字隔天之後到”現在“，我跟Ａ沒有“任何聯繫過，沒有賴，沒有講電話”<br><br>，除了在澎湖玩的群組我們都有講話，但也不是對彼此說話。<br><br>而前任的處理方式，我覺得沒有到全分乾淨是我的問題，但昨天女友貼那篇文章給我看之<br><br>後，我同意女友的觀點，所以把所有前任的東西都刪掉丟掉，不過原本我跟前任也已經接<br><br>近形同陌路，所以不特別討論。<br><br><br>5.以前種種：<br><br>以前發生的事情確實有發生（例如一起看婦產科，提醒吃藥、說什麼愛你之類的），沒有<br><br>要辯駁的（這些事情”通通“發生在認識女友前）<br><br>但我要說的是我沒有不在意我女朋友<br><br>現在暑假在家，我如果沒有去公司實習的日子，我會想晚餐要煮什麼，<br><br>要給女友帶什麼便當<br><br>女友尿道炎那次，我比她還緊張，<br><br>我先跑去婦產科幫我女友掛了號（雖然還是忘記提醒她吃藥ＱＱ）<br><br>然後暑假基本上我們算是同居，去哪裡做什麼事情也都是一起，當然有沒有把對方放心上<br><br>這種事情可以讓時間來證明，不辯駁。<br><br><br>大概是這樣，但我和女友想的一樣，覺得彼此都有問題，是需要溝通的，<br><br>我也不覺得我完全沒錯。<br><br>我只是想回文來解釋我”並沒有“像大家說的那麼糟糕。<br><br>然後還是想看大家的建議，如果也有遇過這種情況的大大然後解決的，<br><br>當然拜託不要是勸分的ＱＱ 我也很喜歡我女朋友Ｒ<br>--<br>", "", ""
"Boy-Girl#M.1532790514.A.76B#00001", "ex990000", "她就吃醋了 你就不能不跟a相處 給女友安全感嗎", "07/28 23:11", "0"
"Boy-Girl#M.1532790514.A.76B#00002", "YiYaochAng", "把A封鎖唯一解 什麼小婊子啊 還不准女友出來 心態噁，心都想要的下場就是女友會逐漸崩潰然後分手 不過你可以回去找A 她一定不介意繼續和你「玩」", "07/28 23:12", "0"
"Boy-Girl#M.1532790514.A.76B#00003", "jidou", "我還是覺得你喜歡A女啊，澎湖行你不敢不去?而且你愛的（我，覺得啊）講話也難聽，不愧（？）你喜歡", "07/28 23:14", "0"
"Boy-Girl#M.1532790514.A.76B#00004", "jidou", "就算A女講話難聽，你堅持跟女友，她也不能怎樣，還是覺得你喜歡A女，因為你也斷不掉，澎湖行也不敢不去", "07/28 23:17", "1"
"Boy-Girl#M.1532790514.A.76B#00005", "czqaz", "補推，有改進的話，就是一個推。", "07/28 23:19", "0"
"Boy-Girl#M.1532790514.A.76B#00006", "MIEyang", "好啦我看了這些話也覺得自己在之前那篇把你罵得太慘了幫，你補血看起來你們都沒想要分開，那把這篇給你女友看然後慢慢努力讓她再覺得可以再相信你吧", "07/28 23:26", "0"
"Boy-Girl#M.1532790514.A.76B#00007", "ksstp93017", "我是事主跟A的朋友，也就是文中的情侶A 首先希望上面，罵A女小婊子的人收回這種話 不管是他們在一起之前還是之後 A都沒有想過要跟事主在一起 我們真的就是很好的朋友 她說的那句話也只是開玩笑 因為兩年前我們倆對情侶跟A出去玩的時候 她就差點睡地板 所以她才會開玩笑這樣說 但原po要帶女友來 我們都會非常歡迎", "07/28 23:29", "0"
"Boy-Girl#M.1532790514.A.76B#00008", "emily0603", "A叫你女朋友不要去澎湖很過分，你女朋友反應當然就說，不去。你都沒作為", "07/28 23:30", "0"
"Boy-Girl#M.1532790514.A.76B#00009", "MaryJanexx", "難怪女友沒安全感成這樣", "07/28 23:30", "0"
