"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1530154985.A.FAE#00000", "jiouje", "跟女友每禮拜見一次面而已，她是學生我社會人士<br><br>我是生活無聊的人，凡逛街、看電影我都沒興趣，只要女友說要哪我就去哪就陪伴這樣<br><br>老實說我跟她出去就想那個而已...<br><br><br>想問大家你們情侶出去玩的行程？<br><br>———<br>痾...沒對不起我女友，我只是生活無趣少出門逛街、看電影，但女友想要逛街幹嘛的 我<br>也盡心陪伴啊！也會做功課看要去哪。<br>--<br>", "", ""
"Boy-Girl#M.1530154985.A.FAE#00001", "gen001", "伸手牌哦，連motel都可以google了，先查過再來問", "06/28 11:09", "0"
"Boy-Girl#M.1530154985.A.FAE#00002", "rindesu", "規畫兩天一夜，她可以玩你可以幹，不好嗎", "06/28 11:11", "0"
"Boy-Girl#M.1530154985.A.FAE#00003", "belmopan", "敢問樓主是否太懶XD，只想那個幹嘛交女友，對樓主來說，約的會比較適合", "06/28 11:12", "0"
"Boy-Girl#M.1530154985.A.FAE#00004", "iwanttosleep", "幾歲了不會自己估狗？", "06/28 11:14", "0"
"Boy-Girl#M.1530154985.A.FAE#00005", "shotshebg", "各取所需 但你太直白了只好噓，沒有第三行的話或許風向就不同了", "06/28 11:16", "0"
"Boy-Girl#M.1530154985.A.FAE#00006", "kobe8112", "去坐火箭來個太空之旅啊", "06/28 11:19", "0"
"Boy-Girl#M.1530154985.A.FAE#00007", "MurMur", ".....", "06/28 11:23", "0"
"Boy-Girl#M.1530154985.A.FAE#00008", "ru19", "只想那個不會好好規劃哦傻眼", "06/28 11:23", "0"
"Boy-Girl#M.1530154985.A.FAE#00009", "ccu1002", "…", "06/28 11:28", "0"
"Boy-Girl#M.1530154985.A.FAE#00010", "LuciusMalfoy", "只想那個XDDD", "06/28 11:32", "0"
"Boy-Girl#M.1530154985.A.FAE#00011", "cryy", "建議你不要交女友 去約炮嫖妓就可以了", "06/28 11:32", "0"
"Boy-Girl#M.1530154985.A.FAE#00012", "hayleywangg", "噓人家把你當男友你把人家當砲友", "06/28 11:33", "0"
"Boy-Girl#M.1530154985.A.FAE#00013", "MurMur", "才剛告白成功就這樣 等等把女的嚇跑", "06/28 11:37", "0"
"Boy-Girl#M.1530154985.A.FAE#00014", "joy50024", "這什麼鬼", "06/28 11:55", "0"
"Boy-Girl#M.1530154985.A.FAE#00015", "civilian", "那是跑友不是女友 你搞錯問題了吧", "06/28 11:58", "0"
"Boy-Girl#M.1530154985.A.FAE#00016", "zetamsz006a", "他只是你的炮友嗎 傻眼", "06/28 12:07", "0"
"Boy-Girl#M.1530154985.A.FAE#00017", "wave7410", "你女友好可憐", "06/28 12:11", "0"
"Boy-Girl#M.1530154985.A.FAE#00018", "chrisyo", "幫女友QQ", "06/28 12:17", "0"
"Boy-Girl#M.1530154985.A.FAE#00019", "whale666", "噓", "06/28 12:19", "0"
"Boy-Girl#M.1530154985.A.FAE#00020", "dawn5566", "見鬼了", "06/28 12:21", "0"
"Boy-Girl#M.1530154985.A.FAE#00021", "qpwoei87", "她如果知道你只想那個應該會傻眼吧，不小心按到推了", "06/28 12:23", "0"
"Boy-Girl#M.1530154985.A.FAE#00022", "jerkingoff", "你女友好可憐", "06/28 12:23", "0"
"Boy-Girl#M.1530154985.A.FAE#00023", "a13045423", "女友好可憐", "06/28 12:24", "0"
"Boy-Girl#M.1530154985.A.FAE#00024", "MaryJanexx", "可憐 兩位都是", "06/28 12:32", "0"
"Boy-Girl#M.1530154985.A.FAE#00025", "Djyou", "把女友當什麼啊", "06/28 12:34", "0"
"Boy-Girl#M.1530154985.A.FAE#00026", "xeriom", "那個是哪個喇", "06/28 12:34", "0"
"Boy-Girl#M.1530154985.A.FAE#00027", "iwanttoeat", "噓", "06/28 12:39", "0"
"Boy-Girl#M.1530154985.A.FAE#00028", "irpkone", "每週去不同間motel   直到分手為止", "06/28 12:41", "0"
"Boy-Girl#M.1530154985.A.FAE#00029", "yeeroyuy", "那你就那個啊...這也能上來問", "06/28 12:42", "0"
"Boy-Girl#M.1530154985.A.FAE#00030", "yorurin", "那就去那個阿", "06/28 12:42", "0"
"Boy-Girl#M.1530154985.A.FAE#00031", "r801017", "可憐", "06/28 12:46", "0"
"Boy-Girl#M.1530154985.A.FAE#00032", "jrfish", "Motel都有異國風房型，一間間就如同環遊世界，讓你幹遍全，世界", "06/28 12:49", "0"
"Boy-Girl#M.1530154985.A.FAE#00033", "xyzgod999", "這樣還能交到女友？想釣？那我會規劃旅遊美食景點還會，耐心拍照，還不是一樣單身狗.........你到底多帥？", "06/28 12:54", "0"
"Boy-Girl#M.1530154985.A.FAE#00034", "MJrun", "噁心 可憐的女友", "06/28 12:54", "0"
"Boy-Girl#M.1530154985.A.FAE#00035", "zqmp", "把女友當砲友  差勁", "06/28 12:55", "0"
"Boy-Girl#M.1530154985.A.FAE#00036", "ulaccc", "。", "06/28 12:58", "0"
"Boy-Girl#M.1530154985.A.FAE#00037", "shellback", "要收獲就得付出呀 多陪陪她逛街吧", "06/28 13:02", "0"
"Boy-Girl#M.1530154985.A.FAE#00038", "funplanet", "應該不是女友吧", "06/28 13:17", "0"
"Boy-Girl#M.1530154985.A.FAE#00039", "abxtpml56", "爛", "06/28 13:20", "0"
"Boy-Girl#M.1530154985.A.FAE#00040", "assess", "精蟲衝腦就不用花心思嗎", "06/28 13:23", "0"
"Boy-Girl#M.1530154985.A.FAE#00041", "ethereal0204", "女友好可憐", "06/28 13:23", "0"
"Boy-Girl#M.1530154985.A.FAE#00042", "sc211", "噁心 女友好可憐", "06/28 13:29", "0"
"Boy-Girl#M.1530154985.A.FAE#00043", "peggy0807", "女友好慘 男友腦子只想跟你那個 其他都不想XDD", "06/28 13:31", "0"
"Boy-Girl#M.1530154985.A.FAE#00044", "GRIPIT", "請參閱郵輪事件", "06/28 13:32", "0"
"Boy-Girl#M.1530154985.A.FAE#00045", "philandsam", "我第一次看到連這種事都要伸手牌，這還交什麼女朋友", "06/28 13:37", "0"
"Boy-Girl#M.1530154985.A.FAE#00046", "selly50311", "好噁心", "06/28 13:38", "0"
"Boy-Girl#M.1530154985.A.FAE#00047", "SilentZ", "這算是反串還鬧版啊?", "06/28 13:40", "0"
"Boy-Girl#M.1530154985.A.FAE#00048", "BanaZA", "幫女友QQ", "06/28 13:43", "0"
"Boy-Girl#M.1530154985.A.FAE#00049", "m0630821", "喔~", "06/28 13:45", "0"
"Boy-Girl#M.1530154985.A.FAE#00050", "dieperson", "超爛", "06/28 14:13", "0"
"Boy-Girl#M.1530154985.A.FAE#00051", "Chueh1995", "噁心", "06/28 14:13", "0"
"Boy-Girl#M.1530154985.A.FAE#00052", "howwhy", "好誠實 只是一般男生會讓女生盡興後 再換自己盡興，且一般男的不會這麼明講", "06/28 14:21", "0"
"Boy-Girl#M.1530154985.A.FAE#00053", "azsx40175", "誠實給推個 各取所需 樓上那些都太甲掰了", "06/28 14:29", "0"
"Boy-Girl#M.1530154985.A.FAE#00054", "ginger925", "噁", "06/28 14:38", "0"
"Boy-Girl#M.1530154985.A.FAE#00055", "sandrasu", "請幫女友正名為炮友，謝謝", "06/28 14:43", "0"
"Boy-Girl#M.1530154985.A.FAE#00056", "polarbeer", "誠實給推", "06/28 14:44", "0"
"Boy-Girl#M.1530154985.A.FAE#00057", "sean23mimic", "這年頭很少這麼真誠的人了。", "06/28 14:55", "0"
"Boy-Girl#M.1530154985.A.FAE#00058", "takaoila", "社會人士吃學生妹就該噓", "06/28 14:55", "0"
"Boy-Girl#M.1530154985.A.FAE#00059", "qwsa2921", "2", "06/28 15:04", "0"
"Boy-Girl#M.1530154985.A.FAE#00060", "iamlegend188", "看了一下以前的文，女友才大一吧，真可憐", "06/28 15:06", "0"
"Boy-Girl#M.1530154985.A.FAE#00061", "onlythat2002", "噗，免錢的最貴沒聽過嗎？", "06/28 15:17", "0"
"Boy-Girl#M.1530154985.A.FAE#00062", "Liang730", "趕快分手 每個禮拜嫖妓一次就好", "06/28 15:22", "0"
"Boy-Girl#M.1530154985.A.FAE#00063", "ohya7533", "講出一堆男人心聲就是會被噓 我推你", "06/28 15:23", "0"
"Boy-Girl#M.1530154985.A.FAE#00064", "s25689teven", "這還叫做女友嗎", "06/28 15:37", "0"
"Boy-Girl#M.1530154985.A.FAE#00065", "shild520", "紅的喜氣", "06/28 15:40", "0"
"Boy-Girl#M.1530154985.A.FAE#00066", "remony", "誠實給推哈哈 各取所需阿", "06/28 15:48", "0"
"Boy-Girl#M.1530154985.A.FAE#00067", "penny841028", "這叫炮友", "06/28 15:54", "0"
"Boy-Girl#M.1530154985.A.FAE#00068", "scott0002", "誠實推", "06/28 16:00", "0"
"Boy-Girl#M.1530154985.A.FAE#00069", "jiashin0407", "不要把炮友說成女友喇", "06/28 16:17", "0"
"Boy-Girl#M.1530154985.A.FAE#00070", "LadyTomato", "誠實。噓你純粹個人不爽", "06/28 16:17", "0"
"Boy-Girl#M.1530154985.A.FAE#00071", "dieperson", "幫噓", "06/28 17:07", "0"
"Boy-Girl#M.1530154985.A.FAE#00072", "cren", "哪個啦", "06/28 17:21", "0"
"Boy-Girl#M.1530154985.A.FAE#00073", "theThe", "太誠實了吧XDDD 就算只想那個也千萬不要每次都往MOTEL衝喔女生肯定會煩感的", "06/28 17:30", "1"
"Boy-Girl#M.1530154985.A.FAE#00074", "for671016", "妳的心態真不好", "06/28 17:40", "0"
"Boy-Girl#M.1530154985.A.FAE#00075", "ATLAS17", "噓死你", "06/28 18:07", "0"
"Boy-Girl#M.1530154985.A.FAE#00076", "george00799", "可憐的女友", "06/28 18:09", "0"
"Boy-Girl#M.1530154985.A.FAE#00077", "Patamon", "這不就騙砲嗎", "06/28 18:21", "0"
"Boy-Girl#M.1530154985.A.FAE#00078", "alamaili", "去屎", "06/28 19:51", "0"
"Boy-Girl#M.1530154985.A.FAE#00079", "honeycandy", "公園逛到滿", "06/28 21:14", "0"
"Boy-Girl#M.1530154985.A.FAE#00080", "bfacsls", "你可能要先把女友借我試車一下我才知道什麼樣的方案適合她^_^這樣就不會給你介紹錯了。", "06/28 22:09", "1"
"Boy-Girl#M.1530154985.A.FAE#00081", "miffei", "還是約砲吧", "06/28 22:16", "0"
"Boy-Girl#M.1530154985.A.FAE#00082", "kaotsoy", "你真的愛她嗎? 還是只想有個人可以X阿??", "06/28 22:37", "0"
"Boy-Girl#M.1530154985.A.FAE#00083", "applebabe100", "活該被噓", "06/28 22:52", "0"
"Boy-Girl#M.1530154985.A.FAE#00084", "Justaziro", "只想那個w有笑有噓", "06/29 02:05", "0"
"Boy-Girl#M.1530154985.A.FAE#00085", "imjeffreylee", "難怪只能降級把妹啊 不意外", "06/29 02:11", "0"
"Boy-Girl#M.1530154985.A.FAE#00086", "s5517821", "誠實推", "06/29 02:39", "0"
"Boy-Girl#M.1530154985.A.FAE#00087", "beambean", "噓", "06/29 03:15", "0"
"Boy-Girl#M.1530154985.A.FAE#00088", "gochinken", "樓上都玻璃心碎XD", "06/29 03:28", "0"
"Boy-Girl#M.1530154985.A.FAE#00089", "wei19", "好噁 只想那個也敢講出來嘔嘔嘔嘔嘔把人家當砲友喔", "06/29 09:59", "0"
