"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1554769547.A.B8E#00000", "koil", "不知道大家有沒有這樣子的經驗<br>小鈴是我大學女友<br><br>當初分手的原因也忘了<br><br>畢業十多年最近在line<br><br>跟她聊了起來<br><br>大家都結婚生子了<br><br>但越聊卻越有感覺<br><br>終於有一天約了出來<br><br>不小心就爬上床<br><br>用我硬的發紫的肉棒<br><br>每一下都用力頂到深處<br><br>好爽好爽<br><br>以為我們分不開了<br><br>回家後她line我<br><br>她覺得很有罪惡感<br><br>以後不要在見面了<br><br>我很不捨 但看看身邊的<br><br>老婆小孩只好忍痛割捨<br><br>不知道以後會不會後悔<br><br>原來我為了家庭<br><br>放棄了這麼多<br><br>我應該是個好男人<br><br><br>--<br>", "", ""
"sex#M.1554769547.A.B8E#00001", "s862342003", "你的斷句讓我以為你割捨的是老婆小孩", "04/09 08:31", "0"
"sex#M.1554769547.A.B8E#00002", "kaospark", "看完你的經歷，只能噓", "04/09 08:34", "0"
"sex#M.1554769547.A.B8E#00003", "yctung1224", "閱，看到不是自己的人妻系列只覺得噁心", "04/09 08:35", "0"
"sex#M.1554769547.A.B8E#00004", "zsp40773", "ID正確", "04/09 08:36", "0"
"sex#M.1554769547.A.B8E#00005", "wwwpietw", "這篇比較弱", "04/09 08:38", "0"
"sex#M.1554769547.A.B8E#00006", "YellowC", "再", "04/09 08:39", "0"
"sex#M.1554769547.A.B8E#00007", "java76803", "Ok", "04/09 08:51", "0"
"sex#M.1554769547.A.B8E#00008", "lovesooman", "CD時間結束", "04/09 08:51", "0"
"sex#M.1554769547.A.B8E#00009", "antiyahoo", "滾", "04/09 09:14", "0"
"sex#M.1554769547.A.B8E#00010", "chung1888", "發紫是壞死484？", "04/09 09:19", "0"
"sex#M.1554769547.A.B8E#00011", "show0960", "薩諾斯嗎", "04/09 09:20", "0"
"sex#M.1554769547.A.B8E#00012", "legoboy", ".........", "04/09 09:38", "0"
"sex#M.1554769547.A.B8E#00013", "andrewwho", "三小", "04/09 10:03", "0"
"sex#M.1554769547.A.B8E#00014", "laplacian", "滾", "04/09 10:17", "0"
"sex#M.1554769547.A.B8E#00015", "moonwinds", "閱 丁下 念在你有創意 重寫一篇吧！", "04/09 10:17", "0"
