"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1459003556.A.6ED#00000", "crocus", "姦殺女友不判死 兩公約成免死金牌<br><br><br>2016年03月26日 04:09 林偉信／台北報導(中時電子報)<br><br>http://img.chinatimes.com/newsphoto/2016-03-26/656/bx4a00_p_01_02.jpg<br>22歲的黃姓男子(本報資料照片)<br><br>22歲的黃姓男子， 3年前在軍中服役時，不甘女友與他分手，竟利用<br>休假潛入女方住處，勒死她母親後再性侵她，一、二審均將黃判處死<br>刑，但最高法院認為，高院沒考量黃的惡行是否達到兩公約所指最嚴<br>重的犯罪，也只論及性侵女友量刑理由部分，昨撤銷死刑判決，發回<br>更審。<br><br>當初高院將黃判死理由認為，黃如果執行無期徒刑假釋後出獄，仍是<br>40多歲的壯年人，由於他有可能再犯性侵殺人罪，這樣將使對他判處<br>無期徒刑的法官背負「伯仁因我而死」的重責，因此須對他執行死刑<br>，但最高法院斥責，高院這樣的推理嚴重違背論理法則。<br><br>怕再犯 也成發回理由<br><br>22歲的黃男在 3年前服役時，不滿高中就結識的王姓女友要求分手，<br>且持續向他催討20萬元借款，於是利用部隊放假回家機會，蒙面侵入<br>王女住處。黃先以童軍繩絞殺躺在椅上休息的王母後，在屋內等侯王<br>女下班，將她綑綁後加以性侵，然後再用童軍繩勒死她。<br><br>王父回家因大門反鎖無法進入，黃趁王父下樓找人開鎖時，逃到王家<br>頂樓藏匿，警方據報趕到，在頂樓逮捕已躲 4個多小時的黃男。黃落<br>網時冷血稱「勒死比較不痛苦」，還形容勒殺王女時「勒到她鼻血都<br>噴出來」，手段凶殘。<br><br>冷血凶嫌 死刑被撤銷<br><br>新北地院將黃判處死刑，案經上訴，黃在高院審理期間，不斷地對死<br>者家屬說「對不起」，還說他在看守所抄寫佛經懺悔、迴向給死者，<br>但家屬一直無法原諒他，希望法官能判黃 100個死刑，還他們一個公<br>道。<br><br>高院認為黃僅因與被害人有情感、金錢糾紛，就殺害其母並姦殺被害<br>人，他的行為極端惡劣、泯滅人性，倘不與社會永久隔離，日後重返<br>社會再犯可能性極高，不得不施以極刑對待，將黃判處死刑，但最高<br>法院昨撤銷死刑，發回更審。<br><br>(中國時報)<br><br>新聞連結:http://www.chinatimes.com/newspapers/20160326000384-260106 <br><br>( ︶︿︶)_╭∩╮<br><br>--<br>", "", ""
"sex#M.1459003556.A.6ED#00001", "frog71520", "他媽的！高等法院一堆智障，錯了！是最高法院", "03/26 22:51", "0"
"sex#M.1459003556.A.6ED#00002", "gogolct", "未到最嚴重犯罪嗎? 等他假釋出來再給社會來一發最嚴重的", "03/26 22:53", "1"
"sex#M.1459003556.A.6ED#00003", "benson60913", "媽的 台灣最美的風景", "03/26 22:55", "0"
"sex#M.1459003556.A.6ED#00004", "ccbbaa", "那些狗官實在要想想會不會有被害家屬不要命跟你同歸於盡，怪了  為什麼不是軍法處置??", "03/26 22:57", "0"
"sex#M.1459003556.A.6ED#00005", "yoyoboys1335", "當兵時殺人應該是唯一死刑 罪刑推定推得有點怪", "03/26 22:58", "0"
"sex#M.1459003556.A.6ED#00006", "giveUstars", "..", "03/26 23:11", "0"
"sex#M.1459003556.A.6ED#00007", "Hero", "軍法快回來！！", "03/26 23:11", "0"
"sex#M.1459003556.A.6ED#00008", "asdfghjkl999", "這最高法院是在共三小", "03/26 23:19", "0"
"sex#M.1459003556.A.6ED#00009", "BaRanKa", "這新聞印象深刻 20歲出頭就這麼兇殘", "03/26 23:23", "0"
"sex#M.1459003556.A.6ED#00010", "IvanLord", "頗呵…一堆臭俗辣不敢判死才造就鬼島殺幾個不會死刑的謬論", "03/26 23:25", "1"
"sex#M.1459003556.A.6ED#00011", "tentaiunkou", "兩你老二公約 台灣又不是簽約國 是在一廂情願去遵守個懶啦", "03/26 23:28", "1"
"sex#M.1459003556.A.6ED#00012", "jason00608", "幹這樣我也去殺掉馬19 再抄佛經100遍 這個最高法院是在判三小懶覺啦幹", "03/26 23:30", "1"
"sex#M.1459003556.A.6ED#00013", "seamask", "感謝太陽花的人，讓軍法官廢除。給民間法官審判刑", "03/26 23:30", "0"
"sex#M.1459003556.A.6ED#00014", "seamask", "只留三軍軍法，民間確判出這種？", "03/26 23:32", "0"
"sex#M.1459003556.A.6ED#00015", "devilsky", "直接扯到廢軍法官那邊 是跳遠選手喔?", "03/26 23:34", "0"
"sex#M.1459003556.A.6ED#00016", "dnzteeqrq", "法官：殺人造業障，救人一命勝造七級浮屠，退回~~~~", "03/26 23:36", "0"
"sex#M.1459003556.A.6ED#00017", "maihime2005", "兩公約立委諸公們自己立了等同國內法  根本腦", "03/26 23:43", "0"
"sex#M.1459003556.A.6ED#00018", "likuen", "台灣快被這群恐龍法官搞爛了，要逼群眾再次走向街頭嗎？", "03/26 23:45", "0"
"sex#M.1459003556.A.6ED#00019", "daniel919927", "幹！白痴法官", "03/26 23:48", "0"
"sex#M.1459003556.A.6ED#00020", "zhenglack", "殺人者死很難嗎？", "03/26 23:49", "0"
"sex#M.1459003556.A.6ED#00021", "tings0910", "兩公約，又不是成員國遵守什麼？法官都想當伴好人，法官沒有退場機制就是個錯誤，判錯沒關係，都判無期", "03/26 23:56", "0"
"sex#M.1459003556.A.6ED#00022", "tings0910", "監獄養一堆廢物，再來說監獄超收，全部槍斃省米飯", "03/26 23:58", "0"
"sex#M.1459003556.A.6ED#00023", "bahano", "台灣最該死的就是這些沒有是非的法官", "03/26 23:58", "0"
"sex#M.1459003556.A.6ED#00024", "hope0955", "唉～不想多評論他們，但各位請先息怒，只是發回更審，並不是改判無期", "03/27 00:01", "1"
"sex#M.1459003556.A.6ED#00025", "takahashiyu", "幹……等恐龍法官的妻女被淫了，再說倫理判決啊", "03/27 00:04", "0"
