"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1551154064.A.1BC#00000", "Sinreigensou", "https://m.ltn.com.tw/news/world/breakingnews/2710005<br><br>〔即時新聞／綜合報導〕台灣恐怖遊戲《還願》因遊戲中的符咒暗諷中國領導人習近平「習<br>近平小熊維尼、你媽白癡」，引來中國網友抵制，遊戲的中國代理商Indievent於23日宣布<br>與台灣遊戲製作團隊「赤燭遊戲」結束合作關係。但如今傳出Indievent已申請破產，中共<br>也已組成工作小組前往上海，請投資方與相關人員「喝茶」。<br><br>今（26）日凌晨PTT八卦版有網友貼出中國網路論壇的截圖，有中國網友爆料Indievent因此<br>事件血本無歸，目前已經申請破產，且投資方也被上門調查。而遊戲平台Steam的未來會如<br>何則不得而知，但中國遊戲業確定因此遭受重擊；至於台灣方面，中國許多投資機構因為此<br>事件都與台灣創業公司一刀兩斷，「全都看也不看直接廢」。<br><br>據《鏡傳媒》報導，一位時常來往兩岸的遊戲業者透露，業界傳聞中共官方於24日已派出工<br>作小組前往上海，調查Indievent在這次事件的涉入程度，「恐怕會被請喝茶」。新創公司I<br>ndievent並非多大的發行商，「遇到這樣的事情，很可能就直接倒了。」<br><br>該業者強調，雖然台灣人對此風波感到大快人心，「但這樣的作法確實辜負了合作對象的信<br>任」，即使赤燭一再表示此風波並非有心為之，是內部疏失所造成，也承諾會賠償損失，「<br>但這次的傷害可不僅是商業上的」。<br><br>https://i.imgur.com/sD07ZtC.jpg<br>有中國網友爆料Indievent因此事件血本無歸，目前已經申請破產，且投資方也被上門調查<br>。（圖取自PTT）<br><br><br><br>感覺也太慘直接破產？<br>--<br>", "", ""
"C_Chat#M.1551154064.A.1BC#00001", "leamaSTC", "最慘受害者無誤", "02/26 12:08", "0"
"C_Chat#M.1551154064.A.1BC#00002", "Nravir", "請洽有言論謹慎點", "02/26 12:08", "0"
"C_Chat#M.1551154064.A.1BC#00003", "aa1052026", "聽說文也可以寫一篇新聞 難怪記者這麼好當", "02/26 12:08", "0"
"C_Chat#M.1551154064.A.1BC#00004", "www8787", "破產惹 無名火", "02/26 12:08", "0"
"C_Chat#M.1551154064.A.1BC#00005", "Allensert", "傳 或 恐 疑 據聞", "02/26 12:08", "0"
"C_Chat#M.1551154064.A.1BC#00006", "mokjb4a", "傳", "02/26 12:09", "0"
"C_Chat#M.1551154064.A.1BC#00007", "mermermer", "又在恐嚇惹", "02/26 12:09", "0"
"C_Chat#M.1551154064.A.1BC#00008", "frozensummer", "結果來源是聽說", "02/26 12:09", "0"
"C_Chat#M.1551154064.A.1BC#00009", "bibi50234", "沒證據也有人信ㄛ", "02/26 12:09", "0"
"C_Chat#M.1551154064.A.1BC#00010", "er2324", "傳、不知名人士透露、網友說、恐、推測", "02/26 12:09", "0"
"C_Chat#M.1551154064.A.1BC#00011", "dolphintail", "都這樣了可是豐于們還是會自己檢討莉方，然後繼續找何老師", "02/26 12:09", "0"
"C_Chat#M.1551154064.A.1BC#00012", "s50189", "據", "02/26 12:09", "0"
"C_Chat#M.1551154064.A.1BC#00013", "chjimmy", "不查證也可以發一篇", "02/26 12:09", "0"
"C_Chat#M.1551154064.A.1BC#00014", "andy09735178", "聽說可以當新聞喔", "02/26 12:09", "0"
"C_Chat#M.1551154064.A.1BC#00015", "LeeJing", "傳 恐 疑", "02/26 12:10", "0"
"C_Chat#M.1551154064.A.1BC#00016", "updowntheof", "NCC又在鬼混了", "02/26 12:10", "0"
"C_Chat#M.1551154064.A.1BC#00017", "hayate232", "傳 或 恐 疑 據聞+自由時報 每一個都是噓的點", "02/26 12:10", "0"
"C_Chat#M.1551154064.A.1BC#00018", "heybro", "記者真好當 這樣也一篇", "02/26 12:10", "0"
"C_Chat#M.1551154064.A.1BC#00019", "jerrysaikou", "唯恐天下不亂", "02/26 12:10", "0"
"C_Chat#M.1551154064.A.1BC#00020", "pei108", "光會傳，不會去求證哦？廢物記者", "02/26 12:10", "0"
"C_Chat#M.1551154064.A.1BC#00021", "yuxds", "事情搞成這樣 他們哪敢在中國繼續做下去 申請破產還好吧", "02/26 12:10", "0"
"C_Chat#M.1551154064.A.1BC#00022", "peterturtle", "媽的這世界會謠言滿天飛公眾媒體肯定要負三成責任", "02/26 12:10", "0"
"C_Chat#M.1551154064.A.1BC#00023", "wolfrains", "我們應該即刻聲討投資大陸的台商反制", "02/26 12:10", "0"
"C_Chat#M.1551154064.A.1BC#00024", "jetzake", "鬧大就鬧大啊 公道自在人心", "02/26 12:11", "0"
"C_Chat#M.1551154064.A.1BC#00025", "heru", "恐恐恐傳傳傳疑疑疑你老師低能垃圾記者", "02/26 12:11", "0"
"C_Chat#M.1551154064.A.1BC#00026", "sinnerck1", "八成又是改圖", "02/26 12:11", "0"
"C_Chat#M.1551154064.A.1BC#00027", "Nitricacid", "來源不是抄的就是聽說是有沒有可以確定的事啊", "02/26 12:11", "0"
"C_Chat#M.1551154064.A.1BC#00028", "dieorrun", "整篇有那麼東西不確定還敢發新聞 一點素養都沒，媽的 不確定的東西那麼多先去查證再來寫新聞好嗎", "02/26 12:11", "0"
"C_Chat#M.1551154064.A.1BC#00029", "eliteark", "快破產那還不快找何老師救你 呵呵", "02/26 12:11", "0"
"C_Chat#M.1551154064.A.1BC#00030", "aa1052026", "八卦原文就是一張聽說來的文章圖", "02/26 12:12", "0"
"C_Chat#M.1551154064.A.1BC#00031", "kaj1983", "幹你媽又是中時對吧！？咦？自由...那沒事兒XDDD", "02/26 12:12", "0"
"C_Chat#M.1551154064.A.1BC#00032", "yuxds", "猜錯了 是自由", "02/26 12:13", "0"
"C_Chat#M.1551154064.A.1BC#00033", "utamaru", "傳", "02/26 12:13", "0"
"C_Chat#M.1551154064.A.1BC#00034", "a7788783", "真的要繼續炒啊？要吵政治有的是地方吵", "02/26 12:13", "0"
"C_Chat#M.1551154064.A.1BC#00035", "lv256", "通篇聽說恐恐恐", "02/26 12:13", "0"
"C_Chat#M.1551154064.A.1BC#00036", "mkai", "記者讓人瞧不起是自找的", "02/26 12:13", "0"
"C_Chat#M.1551154064.A.1BC#00037", "peterturtle", "沒事兒個頭啦 www", "02/26 12:14", "0"
"C_Chat#M.1551154064.A.1BC#00038", "a05150707", "什麼沒事 抓起來一起幹阿", "02/26 12:14", "0"
"C_Chat#M.1551154064.A.1BC#00039", "prudence", "傳 恐 疑 XD", "02/26 12:14", "0"
"C_Chat#M.1551154064.A.1BC#00040", "p200404", "聽說，讓我們繼續恐嚇大眾", "02/26 12:14", "0"
"C_Chat#M.1551154064.A.1BC#00041", "PPTmilktea", "垃圾媒體不意外 不用查證就可以發一篇文繼續煽動 噁心", "02/26 12:14", "1"
"C_Chat#M.1551154064.A.1BC#00042", "hayate232", "自由沒好到哪好.. 中時 自由 都一個樣 只是中時，會穿越時空而以", "02/26 12:14", "0"
"C_Chat#M.1551154064.A.1BC#00043", "updowntheof", "是自由...不過哪家水準應該是都一樣的...", "02/26 12:14", "0"
"C_Chat#M.1551154064.A.1BC#00044", "pea33", "跟大陸講信任？", "02/26 12:14", "0"
"C_Chat#M.1551154064.A.1BC#00045", "CIK994116", "爽", "02/26 12:14", "0"
"C_Chat#M.1551154064.A.1BC#00046", "bigGG30", "蠻佩服那位美術的，做張圖就搞死一家公司...", "02/26 12:14", "0"
"C_Chat#M.1551154064.A.1BC#00047", "yun0112", "一個符搞到要代理商切割我相信，你他媽搞到破產這記者不查證還敢報導？昨天還在嘲諷相信銷量破百萬的，現在幾天說破產就相信", "02/26 12:15", "1"
"C_Chat#M.1551154064.A.1BC#00048", "thbw666", "被台媒破產了", "02/26 12:15", "0"
"C_Chat#M.1551154064.A.1BC#00049", "kaj1983", "幹！台灣價值有英姑觀音引渡，誰敢不信的", "02/26 12:15", "0"
"C_Chat#M.1551154064.A.1BC#00050", "Jinx566", "“傳”、“疑”、“恐” 台灣記者真好當，都不用查證", "02/26 12:15", "0"
"C_Chat#M.1551154064.A.1BC#00051", "home29251347", "傳傳傳傳傳傳", "02/26 12:16", "0"
"C_Chat#M.1551154064.A.1BC#00052", "cactus44", "但這是自由的報導...", "02/26 12:16", "0"
"C_Chat#M.1551154064.A.1BC#00053", "updowntheof", "哪個黨立委敢提修法嚴格管制媒體+重罰我就投那個黨", "02/26 12:17", "0"
